Слово,relation,knowledge,relation_strength,vision,sound,skin,taste,smell
абрикосный,0.7727272727272727,1.0,1.0,0.5,0.09090909090909091,0.18181818181818182,0.8181818181818182,0.9090909090909091
абрикосовый,0.7272727272727273,1.0,1.0,0.5833333333333334,0.0,0.25,0.9090909090909091,1.0
автоматный,0.3409090909090909,1.0,0.3333333333333333,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.0,0.0
автомобильный,0.36363636363636365,1.0,0.3333333333333333,1.0,0.8181818181818182,0.5454545454545454,0.0,0.6923076923076923
агатовый,0.5813953488372093,0.9772727272727273,0.6666666666666666,0.7272727272727273,0.09090909090909091,0.1,0.0,0.0
агрессивный,0.4318181818181818,1.0,0.6666666666666666,0.9090909090909091,0.45454545454545453,0.08333333333333333,0.0,0.2727272727272727
ажурный,0.5,1.0,0.6666666666666666,0.9090909090909091,0.0,0.5,0.0,0.0
азиатский,0.3409090909090909,1.0,0.3333333333333333,0.8181818181818182,0.2,0.0,0.09090909090909091,0.25
азотистый,0.45454545454545453,1.0,0.6666666666666666,0.0,0.0,0.09090909090909091,0.2727272727272727,0.4
азотный,0.5909090909090909,1.0,0.6666666666666666,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365
айвовый,0.6341463414634146,0.9318181818181818,0.6666666666666666,0.4,0.1,0.07692307692307693,0.7272727272727273,0.6666666666666666
акациевый,0.5116279069767442,0.9772727272727273,0.6666666666666666,0.6,0.0,0.18181818181818182,0.18181818181818182,0.8333333333333334
аквамариновый,0.5581395348837209,0.9772727272727273,0.6666666666666666,0.7,0.09090909090909091,0.0,0.0,0.0
акварельный,0.5454545454545454,1.0,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.3
аквариумный,0.3409090909090909,1.0,0.3333333333333333,0.6666666666666666,0.09090909090909091,0.2727272727272727,0.08333333333333333,0.4
аккомодационный,0.34146341463414637,0.9318181818181818,0.3333333333333333,0.25,0.1,0.0,0.0,0.08333333333333333
аккордный,0.46511627906976744,0.9772727272727273,0.6666666666666666,0.4,0.8181818181818182,0.16666666666666666,0.0,0.0
аккордовый,0.45454545454545453,1.0,0.6666666666666666,0.38461538461538464,0.8,0.09090909090909091,0.0,0.09090909090909091
аккуратный,0.4090909090909091,1.0,0.6666666666666666,0.8,0.09090909090909091,0.45454545454545453,0.16666666666666666,0.08333333333333333
активный,0.45454545454545453,1.0,0.6666666666666666,0.9,0.3333333333333333,0.2,0.07692307692307693,0.09090909090909091
актовый,0.3409090909090909,1.0,0.3333333333333333,0.18181818181818182,0.3,0.09090909090909091,0.0,0.0
акулий,0.45454545454545453,1.0,0.6666666666666666,0.5833333333333334,0.0,0.4166666666666667,0.3333333333333333,0.3
акустический,0.6136363636363636,1.0,0.6666666666666666,0.1,0.9090909090909091,0.0,0.0,0.0
акцентный,0.4418604651162791,0.9772727272727273,0.6666666666666666,0.2,0.5454545454545454,0.0,0.0,0.18181818181818182
алебастровый,0.5116279069767442,0.9772727272727273,0.6666666666666666,0.6363636363636364,0.0,0.3,0.0,0.16666666666666666
алкогольный,0.6136363636363636,1.0,0.6666666666666666,0.5454545454545454,0.25,0.0,0.9090909090909091,0.8333333333333334
аллергический,0.4772727272727273,1.0,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.3333333333333333
алмазный,0.45454545454545453,1.0,0.6666666666666666,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0
алойный,0.5384615384615384,0.8863636363636364,0.6666666666666666,0.6,0.0,0.18181818181818182,0.4166666666666667,0.6153846153846154
алый,0.8409090909090909,1.0,1.0,0.8,0.0,0.07692307692307693,0.0,0.0
алычовый,0.6046511627906976,0.9772727272727273,0.6666666666666666,0.9090909090909091,0.0,0.2,0.7272727272727273,0.5833333333333334
альбомный,0.3181818181818182,1.0,0.3333333333333333,0.5454545454545454,0.1,0.6666666666666666,0.0,0.09090909090909091
альтовый,0.4186046511627907,0.9772727272727273,0.6666666666666666,0.2,0.7692307692307693,0.1,0.0,0.0
алюминиевый,0.5454545454545454,1.0,0.6666666666666666,0.7272727272727273,0.08333333333333333,0.5,0.1,0.09090909090909091
аляповатый,0.5555555555555556,0.8181818181818182,0.6666666666666666,0.5555555555555556,0.0,0.0,0.07692307692307693,0.0
аметистовый,0.5116279069767442,0.9772727272727273,0.6666666666666666,0.9,0.0,0.09090909090909091,0.0,0.0
аммиачный,0.6046511627906976,0.9772727272727273,0.6666666666666666,0.0,0.0,0.1,0.2727272727272727,0.8333333333333334
аморфный,0.5348837209302325,0.9772727272727273,0.6666666666666666,0.5384615384615384,0.16666666666666666,0.36363636363636365,0.1,0.2
ампутационный,0.3409090909090909,1.0,0.3333333333333333,0.38461538461538464,0.0,0.36363636363636365,0.0,0.09090909090909091
аналогичный,0.3181818181818182,1.0,0.3333333333333333,0.5833333333333334,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182
анальный,0.4772727272727273,1.0,0.6666666666666666,0.8461538461538461,0.08333333333333333,0.36363636363636365,0.2222222222222222,0.36363636363636365
ананасный,0.7727272727272727,1.0,1.0,0.8181818181818182,0.1,0.4166666666666667,1.0,0.9166666666666666
ананасовый,0.6590909090909091,1.0,1.0,1.0,0.0,0.45454545454545453,1.0,1.0
ангельский,0.3409090909090909,1.0,0.3333333333333333,0.6923076923076923,0.75,0.0,0.0,0.2
англоговорящий,0.4090909090909091,1.0,0.6666666666666666,0.15384615384615385,0.8181818181818182,0.0,0.0,0.0
англоязычный,0.4090909090909091,1.0,0.6666666666666666,0.18181818181818182,0.9090909090909091,0.0,0.0,0.0
ангорский,0.38095238095238093,0.9545454545454546,0.3333333333333333,0.8,0.1,0.25,0.07692307692307693,0.18181818181818182
анемичный,0.375,0.9090909090909091,0.3333333333333333,0.6,0.0,0.09090909090909091,0.0,0.0
анестезирующий,0.5227272727272727,1.0,0.6666666666666666,0.5454545454545454,0.08333333333333333,0.1,0.09090909090909091,0.25
анисовый,0.5813953488372093,0.9772727272727273,0.6666666666666666,0.6,0.09090909090909091,0.0,0.8181818181818182,0.8333333333333334
